PID		Process Name
------------------------------
0		[System Process]
4		System
56		Secure System
108		Registry
584		smss.exe
672		csrss.exe
764		wininit.exe
836		services.exe
856		LsaIso.exe
864		lsass.exe
980		svchost.exe
1012		fontdrvhost.exe
604		WUDFHost.exe
652		svchost.exe
1032		svchost.exe
1328		svchost.exe
1340		svchost.exe
1408		IntelCpHDCPSvc.exe
1452		svchost.exe
1512		svchost.exe
1520		svchost.exe
1536		svchost.exe
1544		svchost.exe
1608		svchost.exe
1688		svchost.exe
1724		IntelCpHeciSvc.exe
1772		svchost.exe
1832		svchost.exe
1908		svchost.exe
1944		igfxCUIService.exe
1980		svchost.exe
2128		svchost.exe
2164		svchost.exe
2232		rundll32.exe
2296		svchost.exe
2316		svchost.exe
2324		svchost.exe
2388		svchost.exe
2424		svchost.exe
2576		svchost.exe
2672		svchost.exe
2760		svchost.exe
2808		svchost.exe
2848		svchost.exe
2916		svchost.exe
2996		RtkAudioService64.exe
1420		svchost.exe
2932		svchost.exe
3076		svchost.exe
3100		svchost.exe
3400		DropboxUpdate.exe
3448		svchost.exe
3616		svchost.exe
3760		svchost.exe
3808		svchost.exe
3952		svchost.exe
3992		spoolsv.exe
3296		svchost.exe
4120		HidMonitorSvc.exe
4132		armsvc.exe
4152		Connect.Service.ContentService.exe
4200		svchost.exe
4236		Dell.TechHub.exe
4256		svchost.exe
4276		svchost.exe
4284		EPCP.exe
4316		escsvc64.exe
4412		EvtEng.exe
4508		svchost.exe
4516		HPSmartDeviceAgentBase.exe
4524		svchost.exe
4544		esif_uf.exe
4632		MpDefenderCoreService.exe
4660		svchost.exe
4668		dasHost.exe
4780		IPROSetMonitor.exe
4868		RstMwService.exe
4880		sqlwriter.exe
4888		ccSvcHst.exe
4904		svchost.exe
4944		svchost.exe
5000		ThunderboltService.exe
5008		TbtP2pShortcutService.exe
5080		jhi_service.exe
5100		WavesSysSvc64.exe
4448		svchost.exe
5132		MsMpEng.exe
5192		windefender.exe
5288		WMIRegistrationService.exe
5308		wslservice.exe
5392		svchost.exe
5708		svchost.exe
6156		svchost.exe
6244		svchost.exe
6564		unsecapp.exe
6584		ccSvcHst.exe
7032		PresentationFontCache.exe
6656		WmiPrvSE.exe
7180		dllhost.exe
8140		svchost.exe
7912		Dell.CoreServices.Client.exe
4772		Dell.DCF.UA.Bradbury.API.SubAgent.exe
4532		Dell.TechHub.Analytics.SubAgent.exe
6384		conhost.exe
7980		Dell.TechHub.Diagnostics.SubAgent.exe
6048		conhost.exe
5420		conhost.exe
6944		Dell.TechHub.DataManager.SubAgent.exe
1668		conhost.exe
7732		Dell.TechHub.Instrumentation.SubAgent.exe
7928		DropboxCrashHandler.exe
8064		conhost.exe
8780		svchost.exe
9192		svchost.exe
9792		dasHost.exe
10176		svchost.exe
11048		svchost.exe
11136		svchost.exe
9820		svchost.exe
11388		audiodg.exe
11536		svchost.exe
12068		SecurityHealthService.exe
12328		NisSrv.exe
8056		svchost.exe
13792		svchost.exe
13316		DDVRulesProcessor.exe
13860		ServiceShell.exe
12616		svchost.exe
14212		svchost.exe
14664		DeliveryService.exe
15192		IAStorDataMgrSvc.exe
11952		SgrmBroker.exe
14060		svchost.exe
13496		SupportAssistAgent.exe
2108		svchost.exe
13800		svchost.exe
3636		DDVCollectorSvcApi.exe
15592		svchost.exe
14200		svchost.exe
19096		svchost.exe
3020		svchost.exe
20408		msdtc.exe
13344		svchost.exe
12596		svchost.exe
5604		vmcompute.exe
10728		svchost.exe
30084		svchost.exe
224320		svchost.exe
126296		WmiPrvSE.exe
152900		dllhost.exe
201132		DbxSvc.exe
12908		svchost.exe
110744		OfficeClickToRun.exe
5316		SearchIndexer.exe
16716		svchost.exe
145000		csrss.exe
180436		winlogon.exe
208532		fontdrvhost.exe
45472		dwm.exe
45156		svchost.exe
264668		Apoint.exe
148800		RAVBg64.exe
55620		RAVBg64.exe
14492		sihost.exe
207784		svchost.exe
114288		svchost.exe
121900		taskhostw.exe
21272		Dell.TechHub.Instrumentation.UserProcess.exe
90004		unsecapp.exe
174004		igfxEM.exe
229280		ctfmon.exe
163104		ApMsgFwd.exe
131064		explorer.exe
191112		ApRemote.exe
206968		hidfind.exe
89816		ApntEx.exe
225008		conhost.exe
77172		svchost.exe
165672		StartMenuExperienceHost.exe
114412		RuntimeBroker.exe
228932		RuntimeBroker.exe
167488		TabTip.exe
179676		firefox.exe
60108		firefox.exe
46108		firefox.exe
96496		ShellExperienceHost.exe
114716		firefox.exe
54864		RuntimeBroker.exe
125160		RuntimeBroker.exe
185808		TextInputHost.exe
218044		firefox.exe
